business_name,pan,gstin,address,pincode,district,state,registration_date,last_activity_date,department,business_status
Orion Manufacturing LLP,DTXUU6667U,,"01
Bahl Street",531211,Madurai,Tamil Nadu,22-05-2019,09-02-2026,Services,Active
Nova Finance LLP,WRTLS1243R,29WRTLS1243R1ZW,"21/10
Chawla Path",152413,New Delhi,Delhi,09-08-2013,22-02-2026,Finance,Active
BlueNova Retail Enterprises,NXDUS2669G,13NXDUS2669G2ZE,"926
Bawa Road",480385,Nagpur,Maharashtra,21-02-2020,12-02-2026,Finance,Active
Nova Finance Enterprises,ZMKIC1446M,36ZMKIC1446M9ZY,"72/939, Manne Street",26938,Hubli,Karnataka,28-10-2010,04-04-2026,Finance,Active
EduSpark Learning Pvt Ltd,LGTXC5520X,35LGTXC5520X9ZA,"13/100
Mandal Chowk",218070,Madurai,Tamil Nadu,23-08-2012,27-03-2026,Logistics,Active
Titan Construction LLP,BYZHZ6439P,13BYZHZ6439P7ZH,"51
Chakrabarti Nagar",626423,Madurai,Tamil Nadu,30-10-2022,07-04-2026,Manufacturing,Active
Orion Manufacturing LLP,RMMOY7255M,36RMMOY7255M3ZL,"67/45
Shenoy Nagar",629141,Mysuru,Karnataka,07-07-2016,12-02-2026,Construction,Active
Apex Technologies Industries,FWWLF6735X,29FWWLF6735X4ZG,"16, Dyal Ganj",863792,New Delhi,Delhi,06-08-2016,16-02-2026,Healthcare,Active
Vertex Solutions Industries,VQMCF6941Z,22VQMCF6941Z8ZP,"H.No. 63
Dara Ganj",366701,Pune,Maharashtra,11-12-2015,06-03-2026,Logistics,Active
Skyline Foods Industries,WZGJW4349M,22WZGJW4349M3ZV,"H.No. 24
Atwal Zila",644902,Warangal,Telangana,09-02-2021,21-08-2022,Services,Closed
Titan Construction Enterprises,AFOHQ4547G,33AFOHQ4547G4ZR,"22/28, Dugar Chowk",697685,Chennai,Tamil Nadu,18-05-2013,23-03-2026,Food & Beverage,Active
Nova Finance Pvt Ltd,WDZIZ8918F,34WDZIZ8918F8ZC,"H.No. 25, Garg Chowk",507827,New Delhi,Delhi,17-06-2017,19-05-2025,Technology,Dormant
Nova Finance Industries,ZQORV7203I,12ZQORV7203I6ZG,"H.No. 70
De Path",333146,Mysuru,Karnataka,08-10-2014,07-10-2024,Construction,Dormant
Vertex Solutions Pvt Ltd,PLRWG0457Y,11PLRWG0457Y9ZE,"H.No. 65, Rana Path",178943,Bengaluru,Karnataka,27-06-2016,17-01-2026,Logistics,Active
Vertex Solutions Industries,OZJKE1846U,30OZJKE1846U1ZT,"H.No. 681, Baria Zila",260656,Mysuru,Karnataka,19-02-2011,12-03-2025,Services,Dormant
Skyline Foods LLP,PGKLQ8052L,24PGKLQ8052L6ZP,"H.No. 156
Bhasin Road",676302,Warangal,Telangana,20-01-2023,04-02-2026,Finance,Active
EduSpark Learning Industries,AGDKC0435O,,"H.No. 304
Din Path",907101,Hyderabad,Telangana,11-09-2021,21-02-2026,Technology,Active
EduSpark Learning Solutions,GBXJU1270Q,36GBXJU1270Q6ZY,"H.No. 72
Sehgal",75258,Ahmedabad,Gujarat,15-07-2021,17-08-2024,Manufacturing,Dormant
BlueNova Retail LLP,OKDQA7243L,,"70/295, Saraf Chowk",639379,Chennai,Tamil Nadu,24-09-2022,21-01-2026,Healthcare,Active
Apex Technologies Industries,UAJDX3427L,26UAJDX3427L5ZQ,"H.No. 928
Master Chowk",533563,Kolkata,West Bengal,09-09-2013,29-01-2026,Manufacturing,Active
EduSpark Learning LLP,MCXSN9866D,34MCXSN9866D3ZO,"H.No. 083
Singh",667649,New Delhi,Delhi,01-10-2013,26-08-2015,Education,Closed
Vertex Solutions LLP,UJJOP6937S,14UJJOP6937S6ZQ,"21, Kanda Circle",838035,Mumbai,Maharashtra,05-12-2018,09-04-2026,Finance,Active
Apex Technologies Pvt Ltd,OSDWM8544F,11OSDWM8544F8ZI,"84/414
Kuruvilla Path",217749,Mysuru,Karnataka,23-07-2012,02-10-2024,Services,Dormant
Skyline Foods Pvt Ltd,LJXLD1566R,34LJXLD1566R8ZP,"H.No. 85
Chaudry Road",341966,Pune,Maharashtra,09-10-2019,20-03-2024,Retail,Dormant
Skyline Foods Pvt Ltd,ZNDRY1569R,34ZNDRY1569R4ZX,"19/20
Dasgupta Path",207808,Nagpur,Maharashtra,28-12-2016,18-02-2026,Construction,Active
Skyline Foods Industries,RVKCN6836T,19RVKCN6836T2ZJ,"29/36
Verma",700345,Chennai,Tamil Nadu,21-10-2020,09-04-2026,Manufacturing,Active
Quantum Logistics Enterprises,BWTAO5721H,22BWTAO5721H4ZS,"34/630
Gokhale Circle",248493,Mysuru,Karnataka,14-03-2021,16-02-2026,Construction,Active
Titan Construction Solutions,NSHVJ6957X,37NSHVJ6957X1ZW,"H.No. 854
Raju Marg",565352,New Delhi,Delhi,22-05-2023,20-02-2026,Services,Active
EduSpark Learning Pvt Ltd,BKSMK4513C,24BKSMK4513C9ZO,"287
Sharaf Street",482366,Hyderabad,Telangana,23-09-2017,28-01-2026,Services,Active
Orion Manufacturing LLP,NKZQW7892T,25NKZQW7892T3ZP,"890
Mand Marg",491942,Mumbai,Maharashtra,03-12-2014,11-03-2024,Services,Dormant
Quantum Logistics Pvt Ltd,IOKGW9610V,14IOKGW9610V5ZL,"H.No. 07, Kamdar Chowk",569301,Kolkata,West Bengal,16-10-2018,13-02-2026,Manufacturing,Active
Nova Finance Industries,BBOJH3458T,31BBOJH3458T2ZT,"H.No. 49, Edwin Zila",798618,Siliguri,West Bengal,20-11-2012,01-12-2015,Logistics,Closed
Vertex Solutions LLP,FIPFF0629K,12FIPFF0629K4ZQ,"89/529, Thakkar Zila",845063,New Delhi,Delhi,31-03-2016,11-04-2025,Services,Dormant
Nova Finance LLP,RHITB4990G,26RHITB4990G3ZI,"14/17
Swamy",64396,Mysuru,Karnataka,30-10-2017,08-01-2020,Healthcare,Closed
Quantum Logistics Solutions,JTOUV9866A,29JTOUV9866A5ZV,"00/38
Krishna Nagar",478495,Bengaluru,Karnataka,26-08-2010,14-02-2026,Logistics,Active
Nova Finance Industries,VDTWM3351T,12VDTWM3351T3ZI,"03/724, Dara Nagar",449364,Hyderabad,Telangana,30-01-2022,10-02-2026,Finance,Active
Skyline Foods Pvt Ltd,UGVPJ7611G,36UGVPJ7611G1ZG,"44, Vasa Street",567648,Hyderabad,Telangana,15-10-2022,09-04-2026,Healthcare,Active
BlueNova Retail Enterprises,ATIYU8827D,22ATIYU8827D8ZB,"68/946, Keer Street",472347,Hyderabad,Telangana,28-12-2014,17-01-2026,Manufacturing,Active
Nova Finance LLP,QRKKW6042L,10QRKKW6042L5ZK,"24, Bandi Marg",482759,Mysuru,Karnataka,22-12-2016,13-03-2026,Finance,Active
Apex Technologies Enterprises,WOCVW2729E,36WOCVW2729E2ZN,"068
Chauhan Marg",754332,Mysuru,Karnataka,24-12-2014,24-11-2024,Education,Dormant
EduSpark Learning Enterprises,SKCAI8689C,23SKCAI8689C4ZD,"27/34
Sastry Road",628666,New Delhi,Delhi,10-10-2019,08-03-2026,Manufacturing,Active
Quantum Logistics Pvt Ltd,UKZVM3251P,35UKZVM3251P1ZK,"H.No. 076, Sangha Ganj",354800,Siliguri,West Bengal,12-01-2011,03-02-2026,Technology,Active
Vertex Solutions Solutions,GZFKV3780E,24GZFKV3780E4ZF,"342
Som Chowk",332646,Madurai,Tamil Nadu,24-09-2011,09-04-2026,Healthcare,Active
Nova Finance Industries,AWUZX7897H,29AWUZX7897H6ZZ,"H.No. 836
Bal",975967,Nagpur,Maharashtra,30-11-2014,20-02-2024,Healthcare,Dormant
EduSpark Learning Enterprises,SKCAI8689C,23SKCAI8689C4ZD,"38
Chauhan Street",628666,New Delhi,Delhi,10-10-2019,08-03-2026,Manufacturing,Active
Titan Construction LLP,PVGUU5299R,18PVGUU5299R3ZZ,"421, Srinivas Ganj",571644,Bengaluru,Karnataka,19-06-2012,21-10-2025,Logistics,Dormant
Nova Finance LLP,HENGF8140N,23HENGF8140N9ZR,"H.No. 197
Goyal",50422,Siliguri,West Bengal,03-01-2013,12-04-2026,Finance,Active
Vertex Solutions Enterprises,ZDZWS9983Z,22ZDZWS9983Z5ZA,"92
Kanda Nagar",492035,Siliguri,West Bengal,13-01-2022,28-03-2026,Manufacturing,Active
EduSpark Learning Solutions,GSILP2312Q,31GSILP2312Q3ZN,"16/53
Sridhar Chowk",780323,Hyderabad,Telangana,01-08-2023,15-03-2026,Services,Active
Vertex Solutions LLP,JTHUI2284U,28JTHUI2284U2ZS,"46
Doctor Street",869449,Siliguri,West Bengal,04-08-2020,20-03-2024,Education,Closed
Titan Construction Pvt Ltd,CRXOA9644B,32CRXOA9644B7ZQ,"750, Borah Nagar",741835,Nagpur,Maharashtra,23-02-2015,02-09-2018,Education,Closed
Apex Technologies Solutions,DXLPN9075N,36DXLPN9075N8ZS,"33/88, Mane Marg",931884,Warangal,Telangana,27-05-2021,19-05-2025,Healthcare,Dormant
Vertex Solutions Solutions,CDVBO4922K,35CDVBO4922K6ZM,"59/65, Thaker Path",754356,Vadodara,Gujarat,18-02-2017,15-04-2026,Retail,Active
Orion Manufacturing Industries,GRNUK9806D,32GRNUK9806D5ZQ,"326, Sampath Ganj",905359,Bengaluru,Karnataka,28-11-2015,03-03-2026,Education,Active
Titan Construction LLP,XDDMN5374X,38XDDMN5374X7ZQ,"H.No. 27
Venkatesh Street",17883,Ahmedabad,Gujarat,16-04-2022,24-04-2026,Construction,Active
Zenith Healthcare Industries,MLYMO3828C,19MLYMO3828C7ZA,"H.No. 40
Varghese Marg",438475,Kolkata,West Bengal,11-02-2011,02-03-2026,Retail,Active
Titan Construction Pvt Ltd,POIDJ6787J,29POIDJ6787J6ZJ,"H.No. 97
Dugal",903113,Hyderabad,Telangana,28-04-2012,17-04-2026,Construction,Active
Orion Manufacturing Solutions,XJZHP1952N,26XJZHP1952N9ZD,"H.No. 25
Thaker Street",219032,Nagpur,Maharashtra,16-08-2011,01-04-2026,Food & Beverage,Active
Nova Finance Industries,AWUZX7897H,29AWUZX7897H6ZZ,"H.No. 57, Mani Chowk",975967,Nagpur,Maharashtra,30-11-2014,20-02-2024,Healthcare,Dormant
Skyline Foods Industries,MCKLG5025U,31MCKLG5025U5ZP,"92/519
Babu Circle",521424,New Delhi,Delhi,14-01-2022,01-05-2026,Manufacturing,Active
EduSpark Learning Industries,MLFMX7105U,29MLFMX7105U2ZK,"H.No. 507
Varty Circle",62566,Vadodara,Gujarat,09-04-2015,31-03-2025,Healthcare,Dormant
Nova Finance Enterprises,XKVKS3329V,25XKVKS3329V2ZC,"57/38, Tandon Chowk",667898,Hyderabad,Telangana,01-12-2011,02-05-2026,Logistics,Active
Quantum Logistics Industries,DRCQX3463S,14DRCQX3463S6ZS,"47/54, Comar Street",44192,Siliguri,West Bengal,04-02-2017,11-11-2018,Retail,Closed
EduSpark Learning Enterprises,ECFES7722H,13ECFES7722H7ZB,"152, Sane Road",497688,Kolkata,West Bengal,28-10-2022,13-03-2026,Logistics,Active
Nova Finance Industries,HFTCJ3320O,,"96/949
Jain Path",541107,Hyderabad,Telangana,08-10-2011,28-01-2026,Logistics,Active
Titan Construction Solutions,FRYJB2456P,32FRYJB2456P6ZV,"H.No. 806, Singh Zila",770133,Siliguri,West Bengal,25-02-2020,06-02-2026,Technology,Active
Titan Construction Industries,SYQFQ2369U,15SYQFQ2369U9ZQ,"57/537, Comar Marg",2831,Madurai,Tamil Nadu,25-03-2017,21-11-2024,Services,Dormant
BlueNova Retail LLP,VZNMR4840A,35VZNMR4840A4ZY,"H.No. 308, Handa Chowk",410123,Pune,Maharashtra,20-07-2016,16-04-2026,Healthcare,Active
Nova Finance Pvt Ltd,OQXVB1375J,24OQXVB1375J8ZD,"01/838
Mannan Road",1884,Kolkata,West Bengal,27-10-2016,11-02-2025,Construction,Dormant
Apex Technologies Solutions,KZZAP9925P,14KZZAP9925P2ZK,"H.No. 387, Magar Path",926704,Bengaluru,Karnataka,04-05-2015,04-04-2026,Finance,Active
Quantum Logistics Pvt Ltd,RMQYI6664W,19RMQYI6664W7ZU,"47/424
Sathe Road",427568,New Delhi,Delhi,13-08-2012,10-05-2026,Construction,Active
Nova Finance Industries,HFTCJ3320O,27HFTCJ3320O7ZD,"96/949
Jain Path",541107,Hyderabad,Telangana,08-10-2011,28-01-2026,Logistics,Active
Zenith Healthcare Solutions,DLRTY4714D,36DLRTY4714D7ZP,"41
Dave Marg",660469,Mumbai,Maharashtra,10-04-2016,28-03-2026,Construction,Active
Zenith Healthcare Industries,KBHVE9855D,24KBHVE9855D3ZD,"69
Khare Zila",25167,Nagpur,Maharashtra,21-09-2012,28-01-2026,Retail,Active
EduSpark Learning Enterprises,OCCUV3807R,16OCCUV3807R2ZN,"H.No. 459, Krishna Nagar",193465,Warangal,Telangana,21-07-2015,10-05-2026,Logistics,Active
Nova Finance Enterprises,AREFE2806H,30AREFE2806H8ZJ,"H.No. 032, Vyas",312258,Vadodara,Gujarat,30-03-2019,01-10-2022,Manufacturing,Closed
Nova Finance LLP,TTZQK9389M,12TTZQK9389M9ZV,"94/777, Banerjee Marg",199454,Pune,Maharashtra,25-12-2012,25-11-2024,Food & Beverage,Dormant
Quantum Logistics LLP,AJLGI5523H,11AJLGI5523H2ZV,"54, Barad",845743,Mysuru,Karnataka,09-06-2020,24-03-2026,Manufacturing,Active
Apex Technologies Pvt Ltd,LVITY3702O,25LVITY3702O6ZH,"165
Sura Circle",256366,New Delhi,Delhi,28-05-2022,24-08-2025,Services,Closed
Quantum Logistics Solutions,OIMGG0236H,37OIMGG0236H6ZF,"35/658
Tiwari Path",889063,Ahmedabad,Gujarat,16-12-2022,06-05-2025,Construction,Dormant
Titan Construction LLP,EFVFE7889R,24EFVFE7889R9ZU,"55/004, Hora",508242,Mysuru,Karnataka,23-08-2011,06-05-2026,Retail,Active
BlueNova Retail Solutions,YPLUG1266C,13YPLUG1266C9ZP,"468, Solanki Marg",538345,Chennai,Tamil Nadu,15-05-2010,07-04-2024,Healthcare,Dormant
Vertex Solutions LLP,LPGNO6932R,35LPGNO6932R8ZR,"37/854
Jaggi Zila",733287,Surat,Gujarat,04-01-2014,04-03-2026,Manufacturing,Active
Orion Manufacturing LLP,NKZQW7892T,25NKZQW7892T3ZP,"H.No. 637
Dubey Zila",491942,Mumbai,Maharashtra,03-12-2014,11-03-2024,Services,Dormant
EduSpark Learning LLP,POROY4742W,12POROY4742W7ZZ,"84/85, Bassi Chowk",765626,Chennai,Tamil Nadu,14-03-2021,06-04-2026,Healthcare,Active
Orion Manufacturing Enterprises,GGZUX1654Y,19GGZUX1654Y7ZY,"694, Borra Chowk",489731,Vadodara,Gujarat,12-04-2021,24-04-2026,Services,Active
Vertex Solutions Industries,NRISO1637F,29NRISO1637F5ZS,"H.No. 44, Wali Marg",974780,Madurai,Tamil Nadu,09-02-2019,14-05-2026,Retail,Active
Orion Manufacturing Solutions,NSBED7716G,13NSBED7716G4ZM,"31
Jayaraman Road",519173,Coimbatore,Tamil Nadu,02-04-2020,05-05-2025,Finance,Dormant
Orion Manufacturing Enterprises,GGZUX1654Y,19GGZUX1654Y7ZY,"141
Krishna Circle",489731,Vadodara,Gujarat,12-04-2021,24-04-2026,Services,Active
Zenith Healthcare Industries,WZNKH5571V,23WZNKH5571V8ZR,"69/519, Din Road",454908,New Delhi,Delhi,20-01-2011,04-01-2014,Logistics,Closed
Orion Manufacturing Solutions,ZUNRO9182D,33ZUNRO9182D3ZR,"H.No. 018
Gandhi Street",91736,Vadodara,Gujarat,10-02-2016,18-04-2026,Retail,Active
Apex Technologies Solutions,MNSUJ8257G,10MNSUJ8257G6ZO,"H.No. 569, Gole",368607,New Delhi,Delhi,24-05-2019,15-02-2026,Food & Beverage,Active
Apex Technologies Pvt Ltd,QARKJ5416U,10QARKJ5416U7ZJ,"H.No. 86, Sundaram Ganj",506450,Nagpur,Maharashtra,07-04-2012,13-02-2025,Healthcare,Dormant
Nova Finance Enterprises,OORIA2020N,21OORIA2020N2ZW,"96/36, Bora Chowk",961435,Hubli,Karnataka,20-02-2022,07-05-2023,Construction,Closed
